user,friend_1,friend_2,friend_3
its_okay\n,cvann077\n,dkato24\n,geralyn\n
Vitaco\n,janecoffee\n,micromac\n,coffee920\n
cerksees\n,scoobydo\n,OStateOK\n,chads\n
BRudders\n,naveenurs\n,dkato24\n,ddwife\n
msteiniger\n,kai6novi\n,r_m_p\n,harleyflanders\n
adw3566\n,mcmorales\n,leelamay\n,gameplan\n
LindyNichols\n,AliceZhang1234\n,shannytan82\n,coffee920\n
coffee920\n,Darkkprncess\n,Sean28\n,GIVENRECEIVE\n
ColoradoJohn\n,CoffeePerk\n,nedrey\n,quaildogs\n
Annyong\n,tahiti\n,scarby\n,kand\n
KidSafeMoms\n,CharliesGG\n,ArborMt\n,me32\n
supercoupe\n,ranesbitt14\n,Jcbueno\n,savegreenbacks\n
jaygeek\n,Ellsswhere\n,AcceptableSN\n,Dulce\n
kc1472\n,litbit\n,TonyOne\n,wakkopoe\n
BonMik\n,Packerfan1966\n,KramStarbucks\n,bholland25\n
delxis\n,necprc\n,Coffee2go\n,ciratoby\n
melcat72\n,John_Smilez\n,Dr_Mupapa\n,evolution\n
runningson\n,Terra75\n,RevJohn\n,ranesbitt14\n
Beezer1\n,CPUwhiz\n,lsophia\n,Target362\n
3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n,act7p\n,N175312\n,APuckNut\n
britbabe\n,margopol\n,caprafan\n,pdxstacey\n
karli\n,cindabeckm\n,Pgy\n,croszell\n
ciratoby\n,delxis\n,GIVENRECEIVE\n,Cheeka\n
Esquimaux\n,Cruzle\n,BruinJef\n,Adrianadazo\n
cater\n,JML1514\n,burogal\n,Crzymn711\n
URFrapismydrug\n,LewisburgStar\n,morningrunner\n,britbabe\n
Stellaaaaa\n,another8a\n,1yogagirl\n,kikibabe\n
phuqr\n,FoodieP\n,coffeeloverxD1\n,Hope21\n
cindabeckm\n,Frapp_Fanatic\n,miracle27\n,ltaylor1\n
CoffeePerk\n,eabjork\n,act7p\n,tkdmom\n
roxy23_66\n,marbux\n,trkraha\n,krisi53\n
CAR116\n,jacobsmom\n,rayandsay\n,KelliJ\n
mrf167\n,SoyVnila\n,MRJEFF\n,calcal89\n
psb1969\n,ArborMt\n,jseek21\n,chads\n
CharlesDollars\n,evolution\n,krisi53\n,cookieknits\n
CoffeeQ\n,mcmorales\n,AtHome\n,queenflyer\n
angielewhoo\n,jeniel\n,sola\n,erookey\n
Hope21\n,Frapp_Fanatic\n,mani123\n,sola\n
jordantheginga\n,wyfantnt\n,imajen11\n,izzy2000\n
cookieknits\n,CharlesDollars\n,dchu220\n,chads\n
sullygirl\n,AliceZhang1234\n,flutterbyy\n,Mouse720\n
kikibabe\n,Stellaaaaa\n,COFFEEIS\n,scoobydo\n
bigjamdaddy\n,VentWhiteMocha\n,gjkoras\n,GIVENRECEIVE\n
Sparkay\n,naveenurs\n,savegreenbacks\n,Adrianadazo\n
FreeHots\n,naveenurs\n,ingridaparicio\n,Vemma\n
carameljava\n,d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,kai6novi\n,r_m_p\n
zizzle\n,musicn7\n,emariceg\n,starbaby\n
Stockton\n,act7p\n,chicagoj\n,PFraley\n
CoffeeQwn\n,FoodieP\n,ac5895\n,litbit\n
Sherbert\n,Darkkprncess\n,kell\n,dana_s\n
PavelL\n,OnTheFritts\n,starbucks4reg\n,CAR116\n
Jitendra\n,Jstncase\n,jane2323\n,ranesbitt14\n
Whiteknuckle\n,BruinJef\n,KoolKups\n,aesun\n
CoffeeMugged\n,JML1514\n,JavaGiuseppe\n,cater\n
paygirl\n,Packerfan1966\n,caprafan\n,BonMik\n
eaguilar\n,jagfan7\n,croszell\n,micromac\n
Alejandro1031\n,jamescrouch\n,Adrianadazo\n,katko\n
jacksnap\n,Superchick21\n,Rubicon\n,hannavas\n
rdiamond\n,kai6novi\n,judyvermont\n,Shelbysac\n
Janay\n,harleyflanders\n,atomicb\n,Frapp_Fanatic\n
rphailey\n,Ruthy\n,katko\n,maryjack\n
jeniel\n,erookey\n,sola\n,angielewhoo\n
Ruthy\n,maryjack\n,rphailey\n,imajen11\n
