suggestionId,body,author,link,title,category,votes,timestamp
(12739,"There's a Starbucks on US 41 and Daniels Parkway in Fort Myers, Florida that is in desperate need of outdoor seating.  A bench would sit nicely within the landscape.  As it is, my friend and I have to sit on the curb when we want to enjoy some rayas and drink our iced coffees. :) \n",shantelj\n,http://mystarbucksidea.force.com/ideaview?id=087500000004d6bAAA,Outdoor seating,Other+Experience+Ideas,0,4/25/2008 5:30 AM)
(12740,"I think the condiment counter experience could definitely be better.  I know some folks get anxious when it comes time to put cream / sugar in their coffee.  I would evaluate how the counter is being used (observational study) and evaluate:* should the napkins / straws also be available somewhere else in the store to avoid additional people at the counter when all they need is a straw / napkin?* should there be \""condiment counter\"" kiosks?  Maybe individual kiosks for individuals - esp. those who are conscious of their personal space* should the condiments be set up like a buffet line (creamer on the corner / sugar in the middle etc etc)* grocery stores now offer clean wipes to wipe down carts etc - what if starbucks had a \""clean wipe pop up\"" stemming from the condiment counter so the customer can wipe down the space they are using?  I always put down a napkin before I remove my lid b/c the surface is typically gross b/c so many customers are slobs and inconsiderate. \n",mo_java\n,http://mystarbucksidea.force.com/ideaview?id=087500000004dDJAAY,Revamp the condiment counter,Other+Experience+Ideas,10,4/25/2008 9:40 AM)
(12741,"Great idea to have the drive through convenience.  Now that everyone is using them, I often find it is easier to park and go inside since the lines are so long. So in that vein, I suggest that (at the least during high use hours) limit the items to three, like a bank. And no hot samdwiches, there are many other options available that do not take the time to \""heat up\"".Starbucks is not a fast food restaurant, through it may strive to be.  Those of us just wanting to get our morning \""fix\""- a cup of joe or other drink, are frustrated by the folks who order four drinks, waters and three breakfast sandwiches during high commute times.  Just a thought. \n",Chaidye\n,http://mystarbucksidea.force.com/ideaview?id=087500000004dDSAAY,Drive Through expedience,Other+Experience+Ideas,20,4/25/2008 9:36 AM)
(12742,"I don't know if my first message got through so I am taking the time and effort to send this again. I think you are making a HUGE mistake in changing your logo.  Can you not affort to use two color ink?  The brown is bland and is coffee colored... boring.  Are you making the same mistake that Coca Cola made in changing their original recipe?  Your original logo had a queen/goddess of coffee, now you have a mermaid?  Bland, bland, bland...I am originally from California where I am a PEETs devotee when there  Yest PEETs has a brown logo but with neutral variations and aboriginal type prints on their cups.  This is yet another reason not to go \""brown.\""You are losing your distinctiveness and instead of being \""bolder\"" as a company that is proud of its products you are fading into the brew.PEETs also is very attractive because it gives customers a free cup of delicious, very strong coffee when a pound of coffee is purhased in the store.  When in California I buy at least six pounds in the store, one at a time, while buying some food and hanging out in a lovely cafe type atmosphere, often outside.  When ordering by mail one is told that bean will be roasted the next day before shipping.Taking away breakfast sandwhiches because they take away from the smell of coffee?  Well, my breakfasts will be eaten elsewhere as I am often hungry when I enter a Starbucks and have loved your superb breakfast sandwich and wrap offerings.My impression is that your staff is already incredibly customer friendly.  Lowering machines will be nice.  But in my estimation, in changing you image, particularly your logo, YOU ARE MAKING ONE OF THE BIGGEST MISTAKES OF ALL... The impression is that you have low self esteem and are bowing to it.Bye bye Starbucks... \n",kianster\n,http://mystarbucksidea.force.com/ideaview?id=087500000004d8rAAA,NO GO LOGO!!!,Other+Experience+Ideas,30,4/25/2008 7:24 AM)
(13998,"I am here to ask my loyal customers to help save this company I have come to love.    When I first started with Starbucks 3 years ago it was a lot to take in but the atmosphere instantly won me over. I could easily compare my work experience with previous employers and Starbucks was more than a paycheck, it was \""the third place\"" for me as well as my customers.  Working with partners in their 3rd, 4th, and 5th year with the company instantly proved I had found a job I could enjoy.  Customers would approach their barista with gifts for holidays and birthdays, and ask about their family members by name.  Managers and partners alike putting in mind boggling hours to keep their store running smoothly.  I was told that Starbucks believed in their customer and partner satisfaction more than the product we sold, it was a new approach to business that inspired me to care about my customers... my friends.    Sadly over the course of the last year I have witnessed a painful change in the company that is tearing it apart from the inside out.  New district managers are hired in with no previous experience with Starbucks, transferring our best store managers to slower stores and replacing them with managers who, although amazing in their own right, are not prepared for such high volume(stress) stores.  We have been receiving our schedules as late as Friday night for the following week and fellow baristas have the unfortunate responsibility of telling customers we are out of at least one product every shift worked.    All of these stresses have left our partners exhausted and frustrated which, although we try and brush off, inevitably becomes noticeable to our customers.  This decline in support from senior management has lead to nearly every one of our seasoned partners to jump ship.  It no longer surprises me when a \""regular\"" comments on how they no longer recognize anyone because their faithful baristas that have served them for 6 years are suddenly gone.  Currently my store has 2 assistant managers, a store manager, and an ever more present district manager, meanwhile my fellow partners who must live off of our wages complain about our 3% labor cut.       Over the course of my time with the company I have seen individual stores RUN solely on the backs of baristas and store managers.  I do not assume to know the tasks of senior management, but fail to see how it is integral to keeping individual stores running.  New beverages and switching the focus of the company on a weekly basis has not slowed the decline the company finds itself in.  I propose the company be restructured and taken back to its roots... where the barista/customer relationship was the essence of the company.  Drink promotion goals and nitpicking dress code seem to be the least of our worries, please help me get the word out, we need to trim the fat.Thank you for listening and help support your local Starbucks, we need your help in these difficult times.\n",Ellsswhere\n,http://mystarbucksidea.force.com/ideaview?id=087500000005CcpAAE,Trim the fat,Other+Experience+Ideas,30,12/9/2008 4:50 AM)
(13999,"I love your Cappuccinos and only purchase my coffee at Starbucks.  \n\nHas your company ever considered a frequent customer card, aka, (CAP), Customer Appreciation Program, i.e., buy any 10 coffees and you receive the 11th coffee of your choose free of charge.\n\nAlso, you should offer free WIFI Service, the longer a customer is in your store the more likely they will purchase another coffee, dessert, etc.\n",Coffee2go\n,http://mystarbucksidea.force.com/ideaview?id=087500000005CfKAAU,Coffee Card,Other+Experience+Ideas,10,12/9/2008 7:43 PM)
(14000,"all of the drive thru's in my area are painfully slow. i strongly prefer going inside because i like to talk with the baristas, but when i'm in a rush, the drive thru should be a fast option. my idea: limit what can be ordered in the drive thru. this way, people who order fancy drinks will be forced to go inside. all you people out there who are going to cry \""but... but i order a fancy drink and sometimes i'm in a rush and need to go through the drive through\"" well then, you could either order a simple drink or else go without. (and right now the drive through is not a quick option anyway) drive thru's exist in the first place for a quicker option, so let's try to make that happen.\n",pechipy\n,http://mystarbucksidea.force.com/ideaview?id=087500000005CfPAAU,find a way to make DT faster,Other+Experience+Ideas,0,12/9/2008 8:12 PM)
(15279,"In the past two weeks, I have sent 3 emails to customer service with query about my gold card replacement (Where is it?). I have not received a response. Today I waited 20 minutes to speak to a live human being who had no idea when I might receive the replacement card. She said I could continue to use the old (i.e. expired) card, but nobody at my 2 local Starbucks knows anything about that.\n",SusieBrown\n,http://mystarbucksidea.force.com/ideaview?id=087500000005jXiAAI,Better response from customer service(phone and email),Other+Experience+Ideas,-10,1/20/2010 9:18 AM)
(15280,"I always bring my own Starbucks reusable cup to Starbucks, hand it to Barista and place my order, ending with \""and my own cup discount.\"" They fail to give me the discount about half the time.\n",SusieBrown\n,http://mystarbucksidea.force.com/ideaview?id=087500000005jXnAAI,No discount for bringing my own Starbucks cup,Other+Experience+Ideas,320,1/20/2010 9:20 AM)
(16702,"While Starbuck's has coffe Shops-Lloyds of Londons everywhere in the world, One thing that is not understood everyday, everydrink is the proper temperature of the drink, coffee, milk steamer, soda izze, orange juice, earl gray tea, tazo ice coffee, and pumkin spice, egg nog, and haute chololatteye! For every degree temperature and aount of liquid water in the air-humidity, and solid ice on the ground, etc. What is the proper temperature of the drink we purchase without being burned or suffering from cold drink paralysis. The fromulas in physics are about the temperature of the body 98.6 degrees farenheit and the lower temperatures near the surface of the body which thermographs show. The temperature of the environment, atmospheric temperature, and about STP_Standard temperature and Pressure ( 70 degrees farnheit, 14.7 lbs/square inch. In the past months every drink I bought I noticed with the cold, the warmth, the change in temperatures radically from 20 deg to 50 deg, from 50 deg to 70 deg repetitively plays a good long large hammer on all our bodies. the physics equations show about 120,ooo joules of energy just to heat a standard room section to room temperature. It is an enourmous amount of work our bodies are going through over and over again during the winter years. So, with this in mind what are our starbucks drinks temperatures? We have to scientifically devise charts to follow in order to repetitively serve ourselves and gusets for some relative maximum of 70,000 hours of baristas aproximae.\nClyde websters definition. Irish name\nwales-gailic means warm\nCeltic-one of the original tribes of Ireland means \""one who can be heard at a distance\""\nSincerely,\nMr. C\n\n\n",MACT\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HSwRAAW,Climate Control_Clyde,Other+Experience+Ideas,-100,5/14/2011 1:04 PM)
(16703,"One of the best time of the year is Fall and Winter - Christmas and Halloween. Part of the reason I love this time of year is the Pumpkin Spice Latte and Ginger Bread Latte. I think it would be very fun if you did release \""parties\"" or Happy Hours. Similar to the Frappuccino Happy Hour you had last weekend.\n",bholland25\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HSwbAAG,Holiday Release Party,Other+Experience+Ideas,-20,5/14/2011 1:25 PM)
(16704,Egg nog lattes for the month of July!!\n,Muadib\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HSxZAAW,Christmas in July,Other+Experience+Ideas,-140,5/14/2011 7:08 PM)
(18197,"Many years ago, Starbucks had an anniversary cup that sold for $40 (I recall) and entitled the used to free drip coffee for a certain amount of months. Nearly half of the patrons of my local Starbucks bought the cup because not only was it a cost saving measure on coffee (and for Starbucks when people did not get the coffee on a regular basis)  but it was also a great green solution.  The baristas would often mention how their trash output had dropped and what a great enivonmental result of having people using Starbucks cups instead of the paper cups.When there is incentive to be green coupled with a cost savings to customers, I think that there is a good overall result.Additionally, Starbucks gains great PR when more people are walking around with Starbucks cups!I hope you can bring back this campaign in some newform or what I have outlined above.Jeff Torresbruin_jeff@yahoo.com \n",BruinJef\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GaHAAU,STARBUCKS CUPS=Better reduced rate for coffee + green solution,Other+Experience+Ideas,70,3/20/2008 3:25 PM)
(18198,It'd be cool to have small classes on why coffee and tea can be good for you.  Offer free samples to those who sign up. \n,KingTim\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GWfAAM,Classes on the benefits of coffee/tea,Other+Experience+Ideas,20,3/20/2008 3:25 PM)
(18199,"How about this one, if you can't hire employees at the Atlanta Airport that (A) know what they are doing and (B) like their jobs and are polite to customers.  Why not close them I will not go to another Starbucks at the Atlanta Airport because of how rude the employees are \n",klebsack\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GaLAAU,Atlanta Airport,Other+Experience+Ideas,40,3/20/2008 3:20 PM)
(18200,I would prefer to see employees dressed more individually.  I think it is silly that they all must where white or black shirts.  They have aprons to identify them as employees.  Why not let us see them express themselves by choosing work appropriate shirts.  I would rather see the employees as individuals instead of Starbuck Employee #32... \n,me32\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GZIAA2,individuality,Other+Experience+Ideas,100,3/20/2008 3:16 PM)
(18201,"Some starbucks are more popular than others, and some of them are in such busy corporate areas that many people use them to conduct their meetings large/small for big companies or the small 1 person shops.Like Kinkos of the past they offered virtual meeting rooms where you have a alrge screen TV connecting you to someones office for an online meeting or to another location for a meeting. Doesn't require much. I see many coffee houses with a large plasma TV for people to watch news or music. This can be used with a webcam setup to connect 1 or more other Starbucks together for 1) Staff Meetings 2) Concert that 1 particular Starbucks is having would show it live to another 3) nice face to face meetings with loved ones far apart, military, virtual first dates,e tc.I particularly like a large screen but then some people may want their privacy and maybe have a smaller one on another end of the shop. (Size of the shops vary greatly I do know this).The TV as mentioned earlier can be for videos, music, TV, news, traffic, available locals for dating scene, etc. \n",Jstncase\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GYkAAM,Virutal Meeting Centers (Media),Other+Experience+Ideas,20,3/20/2008 3:16 PM)
(18202,"At the store in Santa Monica, CA there's a bar by the window with power outlets in the roof, one for every seat. Why don't other stores have this? In the Leicester Square, London, UK store there are just two outlets for 150 seats! If you're serious about Wi-Fi, please help us.It would also be nice if a barista asked me if I wanted anything, i.e. table service. After I've been in the store for 4 hours, I tend to get thirsty and hungry and don't want to shutdown my laptop, just to re-order. In Europe, if you turn your back on your laptop, it's gone.It would be nice if somebody would also look after my table when I go to the bathroom, or put a 'reserved' sign on it. After all, when I come back I can't just go to any table because there aren't power outlets available. \n",Pablo\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GPFAA2,Please Support Wi-Fi Users,Other+Experience+Ideas,40,3/20/2008 2:21 PM)
(18203,"As I travel, I always try to find a Starbucks, and always have my picture taken in front of that  Starbucks with a mug of my beloved bold of the day. Last time it was in Paris. I think it would be fun to encourage folks to do the same and bring the picture and a travel story in to post on a travel bulletin board. Maybe a gift for the funniest picture or the person who has traveled the most miles each quarter? I think it would be fun to see where the folks who frequent \""my\"" Starbuck have been and hear their stories. \n",missesau\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GPEAA2,The mug that traveled the world,Other+Experience+Ideas,10,3/20/2008 2:21 PM)
(18204,Allow more than 8 letters for screen names on mystarbucksidea.com!  You're going to run out of decent screen names fast. \n,Sparkay\n,http://mystarbucksidea.force.com/ideaview?id=087500000004GOjAAM,Allow more than 8 letters for screen names on mystarbucksidea.com!,Other+Experience+Ideas,20,3/20/2008 2:19 PM)
(18205,\n\n\n\nrd place\n,tsudanuman\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IUVFAA4,,Other+Experience+Ideas,-60,11/11/2012 12:07 AM)
(18206,"I am new to \""My Starbucks Idea\"" and I really don't understand how this all works, the points listed underneath the ideas, or where to find more information about this whole \""My Starbucks Idea\"" concept. If there is some explanation of the contents of this portion of the Starbucks web site, I obviously haven't stumbled upon it yet. If no such explanation exists, I suggest that there be a written elaboration of this whole concept somewhere on the \""My Starbucks Idea\"" homepage.\n",Cruzle\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IV3gAAG,Explain the My Starbucks Idea better,Other+Experience+Ideas,40,11/15/2012 3:23 PM)
(18207,Bring back the caramel praline latte.\n,just_starbucks\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HmcCAAS,Bring back the Caramel Praline Latte.,Other+Experience+Ideas,-70,11/16/2011 8:07 PM)
(18208,"This will eliminate the superhuman challenge for posting the most ideas that are marginal, at best.\n",another8a\n,http://mystarbucksidea.force.com/ideaview?id=08750000000Iq0tAAC,Freeze the Leaderboard in its current state,Other+Experience+Ideas,40,5/30/2013 9:47 PM)
(18209,"I do appreciate getting all the advance notices and emails about all the relevant deals and new things happening at Starbucks, I don't really want to get them at 3:00 am (or any other non-business hour). \nThe 'ding' alert that accompanies this message is tantamount to calling and waking me up (which is only reserved for workplace emergencies). \nPlease send your automatic messages during daylight business hours - like at 9:00 am or something like that?\n",rabcede\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IVASAA4,Email notices at convenient times,Other+Experience+Ideas,-90,11/16/2012 7:06 AM)
(18210,"Charlotte, North Carolina - Blakeney Store\nIssue: Local SB have ceased carrying the local (Charlotte Observer) newspaper. Their response is that Corporate has an issue with billing/paying the bill for the Charlotte O and therefore it is not being delivered. This has been the case for over 3 months.\nIs there a billing issue? Believe that three months should be adequate time to solve what I admit is a trivial issue.\n",ColinHood\n,http://mystarbucksidea.force.com/ideaview?id=08750000000Iq2LAAS,ISSUE:  Local Newspaper Cease Delivery,Other+Experience+Ideas,-90,5/31/2013 8:15 AM)
(19588,"It would be awesome to be able to order a design in a latte or mocha in a classy \""for-here\"" cup.  Would Starbucks be able to give its Baristas some coffee art training?  This is a great way to promote positive conversation between the customers and the baristas and could potentially promote a different kind of feeling for a customer going into a coffee shop where not only the taste of the beverage is carefully crafted, but the presentation of it also adds a touch of class.  The Baristas could probably teach the customers a few of the art tricks as well. \n",Ungreen\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lPqAAI,Coffee Art,Other+Experience+Ideas,40,5/26/2008 4:41 PM)
(19589,"It has become normal that the stores are consistently out of brewed coffee so the customer has to wait while its being brewed. The partners should offer an alternative: \""we are out of brewed coffee and it will take a few minutes for it to brew...I can offer you an americano for the same price or would you like to wait for brewed coffee?\"" \n",sdflyer\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lKgAAI,"Out of Brewed Coffee, again!",Other+Experience+Ideas,40,5/26/2008 7:49 AM)
(19590,"I saw Starbucks usually sell some chocolate on the counter. It would be a good idea to promote a new way of enjoying the chocolate and the coffee together. I usually enjoy mine by dropping my favorite chocolate into my favorite *HOT* coffee. The chocolate would slowly melt into my coffee. I will close the cover to let the nature do its work. After 2-3 mins. I open the cover and see my coffee transformed into a  hot chocolate. (It's because the fat in the chocolate is lighter than the coffee, so it will float on top of the coffee and form a layer of chocolate that cover the coffee... so it looks like your coffee just turn into a hot chocolate). Then I use the stair, to stair the chocolate layer. Then the chocolate and the coffee turn into a piece of art. Of course, all these are just visual pleasure. But when you drink it the magic happens. Mmmm.... Yummy~ you should try it yourself. In order for this idea to work on everyone, the counter should provide a variety of chocolate for customers to choose from. Starbucks should work with a large number of chocolate vendor to get the best chocolate from everywhere. \n",kai6novi\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lVAAAY,chocolate drop in the coffee,Other+Experience+Ideas,10,5/27/2008 8:01 AM)
(19591,"I hated that today was the last day to use the 'free' Tall Pikes Place....the card was good for one each Wednesday for the past 2 months.I was told that they are not aware of any other 'promos' to get folks in, but I can tell you honestly that is what brought me 'back' to Starbucks, and because of that weekly trip, I've found myself going in more frequently.What about other 'promos'.......Sonic Drive In has a HAPPY HOUR from 2-4 pm, where all drinks/slushes, etc. are 1/2 price.  I tried to get in there yesterday at 3:59 pm and there wasn't even a place to park.  Talk about a marketing gold mine---I noticed that almost everyone was buying 'something' to go along with their 1/2 price beverage!Just food (or drink!) for thought.......... \n",keokab\n,http://mystarbucksidea.force.com/ideaview?id=087500000004li9AAA,"\""Happy Hour\"" & other promos",Other+Experience+Ideas,30,5/28/2008 7:35 AM)
(19592,"For example. My hobby is thoroughbred horse racing. I follow the sport and play mostly from home via the internet, which can be a lonely experience. I would like to have a social experience with other players without having to go all the way to the track or suffer the indignities of using an OTB.Starbucks has all the ingredients for the social experience I seek: close to home, refreshments, wireless connectivity to the internet, and a conducive environment. If I were Starbucks management, I'd schedule 2 hours once per week during usually slow periods as \""Electronic Paddock\"" sessions where sophisticated horse players would be invited to bring their laptops prepared to play a specific race or two that will be run during the 2 hour session. This idea does not have to be restricted to horseplayers. Other sessions using different themes would also make sense. E.g.,  an electronic \""sewing circle\"" or eBay buyers/sellers, etc. Basically any common interest people may have where the internet is an important tool would be possible themes. The Starbucks used would be the \""clubhouse\"" of choice for such groups for brief periods when the Starbucks was not especially busy with its usual clientele. \n",eqitec\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lcVAAQ,Starbucks With Themed Social Sessions,Other+Experience+Ideas,10,5/27/2008 7:27 PM)
(19593,"Free WIFI will keep me in Starbucks longer, the policy to stay from the Stores is the allow staff to give reasonable time for people to enjoy the experiences while at Starbucks but also to share with others therefore the staff reserved the rights to ask a customer to leave if he/she feels the customer is taking advantages of the free WIFI beyond the sharing system.   or by Purchasing a product depending on the value of the products will give you certain amount of free time access of WIFI in the store.   That way both the customers and the store will win. \n",delxis\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lbdAAA,Free WIFI per order,Other+Experience+Ideas,20,5/27/2008 6:06 PM)
(19594,"How about a Buy 10 cups get one free promotion.By using a Starbucks card all purchases are tracked, so why not give a free drink after 10 drinks are purchased?That would be a nice surprise to have the staff say to you..This drink is on the house as a thank you for being a frequent buyer!There was a time when the staff did not change and I received a free drink every now and then.  But they knew I was a regular.  Now with employment turnovers, no one knows that.  But my card would! \n",ciratoby\n,http://mystarbucksidea.force.com/ideaview?id=087500000004nCPAAY,Frequent Buyer's,Other+Experience+Ideas,20,6/4/2008 10:40 AM)
(19595,"On more than one occassion I've gone to my local Starbucks, which is located inside a Safeway, only to find that they are out of ice. This is extremely frustrating because when I leave the store I have to walk past a big freezer full of guess what.... ICE! Why can't they just walk over and buy a bag of ice? You know, if you do the math you'll see that $1.50 a Starbucks employee would spend on a bag of ice is more than covered by the $4 frappucino I would have purchased. \n",atomicb\n,http://mystarbucksidea.force.com/ideaview?id=087500000004mSHAAY,Ice Shortages,Other+Experience+Ideas,10,5/31/2008 10:40 AM)
(19596,"WHAT ELSE CAN BE DOWN TO ENTICE DISCRETIONARY SPENDING AT STARBUCKS? CUSTOMER PURCHASE DECISONS ARE NOT ALWAYS BASED ON LOGIC. APPEAL TO THEIR EMOTIONS AND PLEASURE ZONES OF THEIR BRAINS. ENDUCE THEM TO BUY TO GRATIFY THE PLEASURE ZONES OF THEIR BRAINS. IMPLEMENT THE IDEA UNDER REVIEW TO REWARD THE LOYAL STARBUCKS CUSTOMER FREE BEVERAGES WHEN THE PURCHASE A GIVEN NUMBER OF DRINKS WITH THEIR STARBUCKS CARD. MAKE THE CUSTOMER FEEL LIKE THEY'RE SAVING MONEY WHEN THEY BUY COMBINATION SPECIALS WHERE THE PRICE OF THE COMBO SAVES THEM MONEY BY BEING CHEAPER THEN BUYING EACH ITEM SEPERATELY. PROMOTE THE MUSIC SALES BY OFFERING THE CUSTOMER A DISCOUNT WHEN THEY BUY CD'S OR DOWNLOADS FROM STARBUCKS. PROMOTE THE BAGS OF COFFEE BY OFFERING THE CUSTOMER A DISCOUNT ON A BEVERAGE IF THEY BUY A BAG OF COFFEE. It's the old idea that if by any promotional method a small or moderate decrease in price results in greater volume of sales, great enough to offset the price reduction, it's possible to generate greater profits. EXPERIMENT WITH A FEW STORES TO SEE WHAT COMBO OR PROMOTIONAL TECHNIQUE WORKS THE BEST. THEN PROCEED TO IMPLEMENT THIS PLAN ON A LARGER SCALE. STUDY THE CUSTOMERS WHO RESPOND TO THIS. STUDY THE LONG TERM RESULTS OF THE PROMOTIONS. MAYBE NO PROMOTION IS GOOD FOR LONG TERM RESULTS AND STARBUCKS NEEDS TO MIX UP THE COMBOS AND PRODUCT DEALS. MAYBE AFTER THE PROMO THE CUSTOMER WILL CONTINUE TO BUY THE COMBINATION OF ITEMS THAT WERE PURCHASED AS A SPECIAL AT THE FULL RETAIL PRICE. FOR EXAMPLE, THE CUSTOMER DEVELOPS A HABIT OF BUYING A MUFFIN WITH HIS/HER LATE. SOME PROMOTIONS COULD GENERATE ENTHUSIASM AND EXCITEMENT. EXPERIMENT, SEE WHAT REALLY WORKS. WOULD A FREE TICKETS TO 6 FLAGS WORK? HOW ABOUT A DRAWING OR CONTEST FOR TICKETS TO A BASEBALL GAME? ALWAYS STUDY THE RESULTS. WHO GOES FOR THE PROMOTIONS? THEN TAYLOR THE PLAN ON A SMALL SCALE. TRY IT ON A LARGER SCALE, INVOLVING MORE STORES. MAYBE PARTICULAR LOCATIONS GIVE BETTER RESULTS THEN OTHERS. YOU CAN GO THROUGH PERIODS OF OFFERING SPECIALS AND DISCONTINUE THEM AND SEE IF THE CUSTOMERS STILL CONTINUE TO BUY THE SAME VOLUME OF PRODUCTS OR ENOUGH PRODUCTS TO GENERATE MORE PROFIT. IT COULD BE LIKE TRAINNING AN ANIMAL TO DO A TRICK. THE REWARD IS NOT GIVEN EVERY TIME. THE CUSTOMER MAY BECOME CONDITIONED TO EXPERIENCE PLEASURE WHEN HE/SHE PURCHASES A COMBINATION OF STARBUCKS PRODUCTS. THOUGH STARBUCKS CUSTOMERS HAVE LESS DISCRETIONARY INCOME TO SPEND, PROPER MARKETING TECHNIQUES CAN INDUCE THE CUSTOMER TO MAKE EMOTIONAL SPONTANEOUS DECISIONS TO PURCHASE PRODUCTS. IF THE CUSTOMER EXPERIENCES PLEASURE IN THE PURCHASE AND ENJOYS THE PRODUCTS, THE CUSTOMER MAY CONTINUE TO SATISFY THE PLEASURE ZONE OF THE BRAIN. THE CUSTOMER WILL RETURN TO STARBUCKS TO PURCHASE AGAIN BECAUSE HE/SHE IS EXPERIENCING A WITHDRAWAL FROM THE PLEASURE STIMULUS. ONE WAY TO MAKE THE CUSTOMER FEEL GOOD IS TO REDUCE THE ANXIETY ABOUT SPENDING MONEY AT STARBUCKS. THEY INSTEAD CAN EXPERIENCE PLEASURE BY SAVING ON ONE OR MORE ITEM IF IT'S PURCHASED TOGETHER WITH ANOTHER \n",gameplan\n,http://mystarbucksidea.force.com/ideaview?id=087500000004lueAAA,EXPERIENCE - THE PLEASURE PRINCIPLE,Other+Experience+Ideas,10,5/28/2008 7:45 PM)
(22523,"This might not interest too many people, but I think it'd be interesting to allow Starbucks fans to design a new Starbucks cup. Designs could be accepted through the website, allowing people to send in drawings, illustrations, etc. and after a certain amount of time the drawings could be posted online for members to vote on, either based on the over all popularity of the design, or on a rubric based on what Starbucks would look for in a new cup. Who ever wins would get to have their design turned into a new cup to be used in Starbucks. Maybe Starbucks could even toss in more  prizes, I dunno. :D\n",mokie_bu\n,http://mystarbucksidea.force.com/ideaview?id=0875000000055rMAAQ,Design a cup,Other+Involvement+Ideas,20,9/25/2008 1:43 PM)
(22524,"Your smaller cans and powerful tiny mints were great products I've bought for 10 years. The new larger can and mint sizes may your product more difficult to carry and the mints just remind me of Altoids.\n\nYou ruined the pure coffee smell of each store with the heated food products. Why compete with McDonalds for an audience that will always go there anyway?\n\nWhy try to compete with Altoids?\n\nBe yourselves, do what got ya there. Remember the \""New Coke\"".\n\nLove ya . . . but don't drive your core admirere$ away.\nBrian Benjamin, DDS\n",BrianBe\n,http://mystarbucksidea.force.com/ideaview?id=0875000000055sUAAQ,Keep the tiny cans of breath mints,Other+Involvement+Ideas,10,9/25/2008 4:33 PM)
(22525,I think if you adopt any ideas/inventions you should pay a royality to the people who disclosed their find. thanks kikibabe\n,kikibabe\n,http://mystarbucksidea.force.com/ideaview?id=0875000000055uLAAQ,Rewards,Other+Involvement+Ideas,0,9/25/2008 10:55 PM)
(22526,"Starbucks just recently opened a store in Easton Maryland. Thank you. I would bring coffee all the way from Annapolis for my tours until this new store opened. I work with conservationists in the area. I purchase the large carry container of coffee for my groups as we walk in EPA areas or I brew it myself for indoor groups. I would like to request (4) of your 12 to 18inch round Starbucks stickers for my office window and the main cabin area to promote your coffee and company because of the wonderful work that your company does preserving nature. Please send them to my home. I will promote Starbucks for the fantastic company that they are to my fellow conservationists and friends.\n\nThank you in advance,\n\nJim Fab\n7800 Masters Drive\nPotomac, Maryland  20854\n301-252-1495\n",longhrs\n,http://mystarbucksidea.force.com/ideaview?id=0875000000055vOAAQ,Promote to wildlife conservationists,Other+Involvement+Ideas,0,9/26/2008 6:41 AM)
(22527,wouldn't it be cool if starbucks hired a person just so you could unload your problems of the day or tell you guilty secrets to... a perfect stranger to talk to is just the person you like to share or just vent too and then just walk away.\n,melcat72\n,http://mystarbucksidea.force.com/ideaview?id=0875000000054ybAAA,someone to talk to,Other+Involvement+Ideas,-10,9/16/2008 7:16 PM)
(22528,Keep your counter cleaner\nEasier to put the right amount of cream\n\nHave a look at our website\nMIRO-INNOVATIONS.COM\n\nThanks\n\nRobert\n\n514-237-0875\n,robertde\n,http://mystarbucksidea.force.com/ideaview?id=0875000000054yhAAA,Cream and Milk dispencer user friendly,Other+Involvement+Ideas,0,9/16/2008 7:50 PM)
(22529,"New name  CoffeeDucks, feel it, smell it!\n",Marcusnu\n,http://mystarbucksidea.force.com/ideaview?id=0875000000054zoAAA,Change your name,Other+Involvement+Ideas,-10,9/17/2008 2:19 AM)
(23849,"I think that if you are going to continue to send free 15thdrink post cards that you should specify that they must have the gold card present when redeeming this free gift. I work at Starbucks and I get alot of calls from people that are always missing their free 15thdrink coupons because they are in a post card form. It's very easy for someone to just take the post card for themselves, and then our Customers are calling to get us to send them back out, and alot of the times it'll happen again.\n",dizzygirl\n,http://mystarbucksidea.force.com/ideaview?id=08750000000H9aWAAS,Changing the process of the free drink postcards,Other+Involvement+Ideas,140,11/26/2010 1:13 PM)
